marginal_T_yr,u_v_threshold,P_both_exceed,P_either_exceed,P_X_given_Y,joint_return_period_yr_AND,joint_return_period_yr_OR
10,0.9,0.03044998772639884,0.16955001227360111,0.30449987726398847,32.8,5.9
25,0.96,0.005625205162619662,0.07437479483738041,0.1406301290654914,177.8,13.4
50,0.98,0.0014833735724195662,0.03851662642758047,0.07416867862097824,674.1,26.0
100,0.99,0.0003813342986910273,0.01961866570130899,0.038133429869102696,2622.4,51.0
200,0.995,9.670441130116281e-05,0.009903295588698846,0.019340882260232544,10340.8,101.0
