return_period_yr,lp3_estimate_cfs,lp3_lower_ci_cfs,lp3_upper_ci_cfs,gev_estimate_cfs
2,117396.19405885464,106543.5316603428,129354.32273298754,184461.9747298496
5,184604.71169857334,164881.1097238451,206687.71357974975,225031.4791351331
10,236820.08206196406,207254.94751067157,270602.71391083504,247066.4308001158
25,311846.1178055002,265457.71538278623,366340.83530076226,270396.7813401532
50,374509.29294577835,312396.27450425056,448972.09713952104,284952.1495216554
100,443154.2048728331,362513.75505720894,541732.9592513833,297432.73536256934
200,518508.0575205197,416276.41578022006,645846.3547827956,308183.31457068387
500,629635.7079647813,493640.22597229684,803097.2839854419,320175.2837584311
