station,date,rpi,category,score_DO,score_BOD5,score_SS,score_NH3-N
3001,2020-05-15,3.0,Lightly polluted,3,3,3,3
3001,2020-06-15,3.0,Lightly polluted,3,3,3,3
3001,2020-07-15,4.5,Moderately polluted,3,3,6,6
3001,2020-08-15,3.0,Lightly polluted,3,3,3,3
3001,2020-09-15,3.0,Lightly polluted,3,3,3,3
3001,2020-10-15,2.0,Non-polluted,1,3,1,3
3001,2020-11-15,2.5,Lightly polluted,1,3,3,3
3001,2020-12-15,2.0,Non-polluted,1,1,3,3
3001,2021-01-15,2.5,Lightly polluted,1,3,3,3
3001,2021-02-15,2.0,Non-polluted,1,1,3,3
3001,2021-03-15,2.0,Non-polluted,1,1,3,3
3001,2021-04-15,3.0,Lightly polluted,3,3,3,3
3001,2021-05-15,3.0,Lightly polluted,3,3,3,3
3001,2021-06-15,3.0,Lightly polluted,3,3,3,3
3001,2021-07-15,2.75,Lightly polluted,1,1,3,6
3001,2021-08-15,3.0,Lightly polluted,3,3,3,3
3001,2021-09-15,3.0,Lightly polluted,3,3,3,3
3001,2021-10-15,2.5,Lightly polluted,1,3,3,3
3001,2021-11-15,3.25,Moderately polluted,1,3,6,3
3001,2021-12-15,2.5,Lightly polluted,1,3,3,3
3001,2022-01-15,2.0,Non-polluted,1,1,3,3
3001,2022-02-15,1.5,Non-polluted,1,1,1,3
3001,2022-03-15,2.5,Lightly polluted,3,1,3,3
3001,2022-04-15,2.5,Lightly polluted,3,3,1,3
3001,2022-05-15,3.0,Lightly polluted,3,3,3,3
3001,2022-06-15,2.5,Lightly polluted,1,3,3,3
3001,2022-07-15,3.0,Lightly polluted,3,3,3,3
3001,2022-08-15,3.0,Lightly polluted,3,3,3,3
3001,2022-09-15,3.0,Lightly polluted,3,3,3,3
3001,2022-10-15,2.5,Lightly polluted,3,1,3,3
3001,2022-11-15,2.0,Non-polluted,1,1,3,3
3001,2022-12-15,2.0,Non-polluted,1,1,3,3
3001,2023-01-15,2.75,Lightly polluted,1,1,3,6
3001,2023-02-15,2.5,Lightly polluted,1,3,3,3
3001,2023-03-15,2.0,Non-polluted,1,1,3,3
3001,2023-04-15,2.75,Lightly polluted,1,1,3,6
3001,2023-05-15,2.5,Lightly polluted,1,3,3,3
